ID,song_name,artist,album,release_date,youtube_link
1,Too Sweet,Hozier,Unheard,2024-03-22,https://www.youtube.com/watch?v=aezstCBHOPQ
2,Daechwita,Agust D,D-2,2020-05-22,https://www.youtube.com/watch?v=8TWQg4z9Ic8
3,Daechwita Live Singapore,Agust D,D-2,2020-05-22,https://www.youtube.com/watch?v=tm00xTkHoYc
4,I Saw Her Standing There,The Beatles,Please Please Me,1963-03-22, https://www.youtube.com/watch?v=cADFS0NU6As
5,Crazy Little Thing Called Love,Queen,The Game,1980-06-30, https://www.youtube.com/watch?v=zO6D_BAuYCI
6,Shape of You,Ed Sheeran,/,2017-01-06, https://www.youtube.com/watch?v=Vds8ddYXYZY
7,Enemy,Imagine Dragons ft JID,,,https://www.youtube.com/watch?v=hHB1Ikzfpmc
8,Runaway,Aurora,,,https://www.youtube.com/watch?v=7ifyPIoevKM
9,Runaway,Linkin Park,,,https://www.youtube.com/watch?v=ba3NKV395i0
10,Perfect,Ed Sheeran,,,https://www.youtube.com/watch?v=B8vmbrJ_S50
11,Perfect,Simple Plan,,,https://www.youtube.com/watch?v=7SHG0-NlWIg
12,Bohemian Rhapsody,Queen,A Night at the Opera,1975-10-31,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
13,Imagine,John Lennon,Imagine,1971-09-09,https://www.youtube.com/watch?v=YkgkThdzX-8
14,My Universe,Coldplay ft BTS,,,https://www.youtube.com/watch?v=gE3ZjNfYJDs
15,Crazy,Gnarls Barkley,,2006,https://www.youtube.com/watch?v=-N4jf6rtyuw
16,Sweet Dreams,Eurythmics ft Annie Lennox and Dave Stewart,,1983,https://www.youtube.com/watch?v=qeMFqkcPYcg
17,Never Gonna Give You Up,Rick Astley,,1987,https://www.youtube.com/watch?v=dQw4w9WgXcQ
18,Livin' On A Prayer,Bon Jovi,,1986,https://www.youtube.com/watch?v=ohFtQIPqGSo
19,Beat It,Michael Jackson,,1983,https://www.youtube.com/watch?v=8fO8jVZ3T9g
20,House Of The Rising Sun,The Animals,,1963,https://www.youtube.com/watch?v=N4bFqW_eu2I
21,Stayin' Alive,Bee Gees,,1977,https://www.youtube.com/watch?v=fNFzfwLM72c
22,We Will Rock You,Queen,,1977,https://www.youtube.com/watch?v=TXGbhniTBrU
23,I Will Always Love You,Whitney Houston,,1992,https://www.youtube.com/watch?v=3JWTaaS7LdU
24,I Will Survive,Gloria Gaynor,,1978,https://www.youtube.com/watch?v=6dYWe1c3OyU
25,Don't Stop Me Now,Queen,,1978,https://www.youtube.com/watch?v=HgzGwKwLmgM
26,Billie Jean,Michael Jackson,,1982,https://www.youtube.com/watch?v=Zi_XLOBDo_Y
27,Somebody I Used to Know,Gotye ft Kimbra,,2011,https://www.youtube.com/watch?v=8UVNT4wvIGY
28,What A Wonderful World,Louis Armstrong,,1967,https://www.youtube.com/watch?v=rBrd_3VMC3c
29,Hey Jude,The Beatles,,1983,https://www.youtube.com/watch?v=7qMls5yxP1w
30,She Loves Control,Camilla Cabello,,,https://www.youtube.com/watch?v=nKcKreZJYfI
31,Waterfall,Stargate ft P!nk and Sia,,,https://www.youtube.com/watch?v=08qA-Uy-hmk
32,I Don't Care,Justin Bieber ft Ed Sheeran,,,https://www.youtube.com/watch?v=CCSGelSCPGE
33,I Don't Care,Cheryl,,,https://www.youtube.com/watch?v=HJ7LsLEERkE
34,good 4 you,Olivia Rodrigo,,2021,https://www.youtube.com/watch?v=byfiQA8HRaE
35,Misery Business,Paramore,,2007,https://www.youtube.com/watch?v=aCyGvGEtOwc
36,Lady Madonna,The Beatles,,1968,https://www.youtube.com/watch?v=czhd27cN2dg
37,What I Got,Sublime,,1996,https://www.youtube.com/watch?v=0Uc3ZrmhDN4
38,Stairway To Heaven,Led Zeppelin,,1971,https://www.youtube.com/watch?v=IS6n2Hx9Ykk
39,We Used To,Dolly Parton,,,https://www.youtube.com/watch?v=Vf9Q2-vuz30
40,Eye in the Sky,The Alan Parsons Project,,1982,https://www.youtube.com/watch?v=56hqrlQxMMI
41,Need You Now,Lady Antebellum,,2077,https://www.youtube.com/watch?v=eM213aMKTHg
42,I'm Yours,Jason Mraz,,2008,https://www.youtube.com/watch?v=EkHTsc9PU2A
43,Introducing Me,Nick Jonas,,2010,https://www.youtube.com/watch?v=ukWPR88H53Q
44,Crying In The Club,Camila Cabello,,,https://www.youtube.com/watch?v=kMkdEbUlSWo
45,Cheap Thrills,Sia ft Sean Paul,,,https://www.youtube.com/watch?v=mY9fNwGE7YA
46,Cruel Summer,Taylor Swift,,2019,https://www.youtube.com/watch?v=ic8j13piAhQ
47,Deja Vu,Olivia Rodrigo,,2021,https://www.youtube.com/watch?v=fWgboQNNfB8
48,Dani California,Red Hot Chili Peppers,,2006,https://www.youtube.com/watch?v=0QMMDSO8904
49,Mary Jane's Last Dance,Tom Petty and the Heartbreaker,,1993,https://www.youtube.com/watch?v=YtZeVx5Om4c
50,TiK ToK,Kesha,,,https://www.youtube.com/watch?v=OF04pKp-r9o
